"","cnt_av","cnt_sd","diab_av","diab_sd"
"OTU_2095",0.0156392381764632,0.0370602565314196,0.00613201761279398,0.0269026452188476
"OTU_8623",0.000622714069852793,0.0035570506533085,0,0
"OTU_7634",2.38398003559759e-05,0.000214558203203783,0,0
"OTU_2010",0.00843106646016048,0.0224914843676618,0.000677160815820841,0.00192074748247965
"OTU_890",0.0256090538751547,0.0348223313357356,0.00917608913273315,0.0166503848606343
"OTU_431",0.00993414801818453,0.0247166685144145,0.010566485985113,0.0454204134226074
"OTU_1685",0.0062625605107399,0.0173348202881377,0.0037792518423438,0.0107281664158396
"OTU_1042",0.0338899502172584,0.148371613400702,0.0147160590303239,0.0336992997890371
"OTU_423",0.00282290243769374,0.0118050014773278,0.00236411130112083,0.00508256152909939
"OTU_3375",0.000195393814138892,0.00175854432725003,3.97086496954545e-05,0.000254259417300695
"OTU_6069",0.000148796902643675,0.00133917212379307,0,0
"OTU_1773",0.000791982256757939,0.00310852341589361,0,0
"OTU_7078",0.000222712189038106,0.00200440970134295,0,0
"OTU_8144",5.28134796900482e-05,0.000475321317210434,4.14821230716517e-05,0.000265615187660265
"OTU_8564",0.000304646412340691,0.00201172080589678,0,0
"OTU_5212",0.000121080558950257,0.000625597559838624,0,0
"OTU_1448",0.00102273223248074,0.00229690462103486,0.00578598760595213,0.017126069361937
"OTU_3698",0.000140661133133075,0.000570872894608152,0.00149131630622745,0.00611365858700923
"OTU_8370",0.000132209027761252,0.00118988124985126,0,0
"OTU_302",0.000325980722846401,0.00150983772154595,0.00149577560234325,0.00610331805746737
"OTU_1453",0.00130094946343453,0.00399738244150535,0.00361233233333785,0.0137033277050296
"OTU_6692",0,0,7.86490298838786e-05,0.000503599509500044
"OTU_277",0.000523708883837339,0.00215167301303192,0,0
"OTU_161",0.000168942842729565,0.000787286852375929,0.00133100288861031,0.00480004989156273
"OTU_3123",8.50228459790944e-05,0.000652965728730545,4.83741449869873e-05,0.000309745660231269
"OTU_5571",5.52694669771153e-05,0.000497425202794037,0,0
"OTU_8609",6.17663213365889e-05,0.000328728909084482,0,0
"OTU_8033",0.000121524549781924,0.00109372094803732,0,0
"OTU_5022",6.07921952548044e-05,0.00054712975729324,0,0
"OTU_2410",7.93138309949989e-05,0.000574037927023779,0,0
"OTU_3608",0,0,0.00143112194729124,0.00548782981345114
"OTU_1111",0.000388359770466021,0.00229449197657595,0.00015784862842696,0.0010107243785262
"OTU_7699",0.000115842654381621,0.000695410088225725,0,0
"OTU_6635",3.98157803474882e-05,0.000358342023127394,0,0
"OTU_8678",0.000160062878485794,0.0008354785927462,0,0
"OTU_8454",0,0,0,0
"OTU_8543",6.84072851161184e-05,0.000459172873039501,0.000109519403175855,0.000519860229409493
"OTU_6771",0.000366818083087343,0.00175461536932164,0,0
"OTU_1882",0.000267724706481679,0.00110293579096648,7.9417299390909e-05,0.000508518834601391
"OTU_7011",0.000217437626333079,0.00119499111284066,0,0
"OTU_8188",0.000112343509076486,0.000618898044358624,0,0
"OTU_2990",0.000352282007115508,0.00172917827572784,0,0
"OTU_3187",0.000206933791466887,0.00129105399524516,0.000130801631313273,0.000676326653528082
"OTU_8042",1.62423910488833e-05,0.000146181519439949,7.87835702050872e-05,0.000357296880044948
"OTU_833",0.00051876393714444,0.00223175923852981,0,0
"OTU_5202",8.6657210844264e-05,0.000518218008279728,0.000501144431647544,0.0032088900567369
"OTU_2231",0.000450651300113249,0.0024522821592373,0,0
"OTU_3395",0.000229096430751424,0.00113198214070506,0,0
"OTU_1397",0.00215044841197116,0.0124708725430264,0.000238251898172727,0.00152555650380417
"OTU_2051",0.000702280991073672,0.00322234247239905,0.000326137755143788,0.00165930110709419
"OTU_3126",0.000465679667518094,0.00222318153182997,0.000182406120526184,0.000717529760460661
"OTU_3626",0.000291891257898081,0.0019822446926183,3.57057545893499e-05,0.000228628382626896
"OTU_7060",0.000365975950350804,0.00198533514255127,0,0
"OTU_697",0.00222763048512661,0.00898965800218133,5.26162094756532e-05,0.000336908126175399
"OTU_7939",0.000151778694521093,0.00136600825068983,4.30884973102006e-05,0.000275901001481505
"OTU_6014",0.000257091966356573,0.00137023085783267,0,0
"OTU_2661",0.000758197338030721,0.0026289062902904,0,0
"OTU_1041",0.000363158038777729,0.00138513179565522,0.000360905743426854,0.00117673844121145
"OTU_2853",0.000370779371637612,0.00244197073562767,0,0
"OTU_731",0.0182068364494424,0.0282547343923149,0.0971575687127696,0.173763298840639
"OTU_1470",0.00590424159015946,0.0124589108152573,0.0361732684752763,0.133103879123036
"OTU_1446",0.00189256494352552,0.00428620152429127,0.0377904406613791,0.145428884821439
"OTU_320",0.0102697916999369,0.0162264107277328,0.0970024304886441,0.151490160928904
"OTU_290",0.0465290099011878,0.0783927679018959,0.116861525449721,0.21697619507077
"OTU_866",0.000328431185252122,0.00216924917714362,0.000408239977770815,0.00234354067391044
"OTU_685",0.00392039758962211,0.0081849208145377,0.0868773137318458,0.197919492530611
"OTU_469",0.000148526424231113,0.000551423945072778,0.00262880062319963,0.00687154549097713
"OTU_1314",0.000883874512710155,0.00500668536663946,0.0035312897763637,0.01437237292428
"OTU_1427",0.00318895916088505,0.00656065299072502,0.00109869594276456,0.00287300468531525
"OTU_3011",0.005922421550271,0.0174094057188199,7.87942518995505e-05,0.000353890321956386
"OTU_491",0.0162178153588991,0.0691233838863569,0.0147839593455746,0.0382947751391349
"OTU_1071",0.00633558614624055,0.0171743832980193,0.0140588566138142,0.0282673160254107
"OTU_1546",0.00412327864071257,0.0115980626134866,0.004331511534283,0.0146667412342775
"OTU_6328",9.02811209249389e-05,0.000548060841661327,0,0
"OTU_5925",0.000282807509331234,0.0025452675839811,0,0
"OTU_5",0.146606914981606,0.251691818092794,0.437770794904671,1.05307159402763
"OTU_4042",0.000381654224347706,0.00147085834962612,0.000406485866118527,0.00188828539908199
"OTU_928",0.00472495852273367,0.00939995434612842,0.0093151858586504,0.023985002868353
"OTU_3165",0,0,0.000965065722171161,0.00424893839011695
"OTU_7760",6.46142280207031e-05,0.000581528052186327,0,0
"OTU_3978",0.000264911582512797,0.00224898280255038,3.63664398855475e-05,0.000232858832660294
