OTU	Test-Statistic	P	FDR_P	Bonferroni_P	control_mean	diabetes_mean	taxonomy
OTU_873	10.4543689201	0.00122359709166	0.00422087770256	1.0	3.49382716049	0.414634146341	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__; s__
OTU_149	10.4514357151	0.00122554162409	0.00422087770256	1.0	0.37037037037	17.8536585366	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
OTU_3990	10.4483331656	0.00122760182473	0.00422087770256	1.0	6.58024691358	0.560975609756	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae; g__; s__
OTU_825	10.3897545259	0.00126716468874	0.00434280713715	1.0	3.98765432099	0.170731707317	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
OTU_1158	10.3319882353	0.00130744290254	0.00446639365738	1.0	1.69135802469	0.121951219512	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__; s__
OTU_1206	10.3248163722	0.00131253318293	0.00446936540426	1.0	1.34567901235	0.219512195122	k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Chthoniobacter; s__
OTU_925	10.25386419	0.00136398586887	0.00462968280493	1.0	1.76543209877	0.536585365854	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__
OTU_8410	10.2441304225	0.00137120208249	0.00463930672637	1.0	1.2962962963	0.170731707317	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__
OTU_3265	10.2360044175	0.00137725596129	0.00464494924523	1.0	9.16049382716	2.39024390244	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Salinicoccus; s__
OTU_426	10.2114890052	0.00139568442641	0.00469215811926	1.0	6.49382716049	2.56097560976	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__; g__; s__
OTU_38	10.1811245222	0.0014188562246	0.00475496437296	1.0	3.54320987654	1.21951219512	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__
OTU_6702	10.1661430696	0.00143043201554	0.00477350268503	1.0	2.74074074074	0.512195121951	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
OTU_712	10.1623177064	0.00143340307256	0.00477350268503	1.0	1.25925925926	0.292682926829	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
OTU_512	10.1339770751	0.00145560999894	0.00483226015323	1.0	4.24691358025	2.56097560976	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium; s__
OTU_2026	10.089639755	0.00149105252788	0.00492265980011	1.0	1.0	0.19512195122	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
OTU_1972	10.088299174	0.00149213767312	0.00492265980011	1.0	0.950617283951	14.8780487805	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__; s__
OTU_3492	10.0507576951	0.00152285294682	0.00499152367993	1.0	1.08641975309	0.219512195122	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
OTU_1218	10.0500212566	0.00152346183949	0.00499152367993	1.0	1.72839506173	0.487804878049	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__; s__
OTU_433	10.0455648163	0.00152715172077	0.00499152367993	1.0	1.06172839506	0.365853658537	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
OTU_1169	10.0305139766	0.00153968068158	0.00501699028244	1.0	3.41975308642	1.78048780488	k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__Rhodothermaceae; g__Rubricoccus; s__
OTU_1014	10.0118109003	0.00155539509702	0.00505264849	1.0	1.22222222222	0.390243902439	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Virgisporangium; s__ochraceum
OTU_661	9.97052307582	0.00159066295626	0.00515141306017	1.0	3.37037037037	1.0487804878	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
OTU_84	9.95760478682	0.00160186323283	0.00517186940113	1.0	1.08641975309	0.0487804878049	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__
OTU_777	9.883329665	0.00166782860812	0.00536848175076	1.0	5.14814814815	2.19512195122	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Kineosporiaceae; g__; s__
OTU_1510	9.85584229839	0.00169293270394	0.00543277494991	1.0	0.962962962963	0.0975609756098	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
OTU_398	9.81083689522	0.00173486541597	0.00555052107406	1.0	6.16049382716	3.87804878049	k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__; s__
OTU_6302	9.79591054258	0.00174900386186	0.00557890087263	1.0	1.86419753086	0.439024390244	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Rhodocytophaga; s__
OTU_1109	9.78262610099	0.00176168524525	0.00560247650065	1.0	3.85185185185	1.73170731707	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__
OTU_7267	9.76745277261	0.00177628380821	0.00563198967932	1.0	1.02469135802	0.0975609756098	k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__
OTU_307	9.72573946615	0.00181705200252	0.0057440539423	1.0	7.0987654321	0.853658536585	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__; s__
OTU_502	9.70128943247	0.00184138758899	0.00580253993124	1.0	13.5061728395	8.21951219512	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__
OTU_599	9.69148886509	0.0018512347866	0.00580253993124	1.0	1.13580246914	0.414634146341	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__; s__
OTU_1324	9.69073839259	0.00185199102621	0.00580253993124	1.0	6.06172839506	2.34146341463	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas; s__mexicana
OTU_635	9.68451542548	0.00185827388982	0.00580505029297	1.0	6.04938271605	3.21951219512	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae
OTU_1198	9.65772637157	0.00188556843349	0.00586688722648	1.0	8.61728395062	1.92682926829	k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Stigonematales; f__Rivulariaceae; g__Calothrix; s__
OTU_336	9.64924231165	0.00189429703482	0.00586688722648	1.0	1.22222222222	0.121951219512	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
OTU_1532	9.64886245905	0.00189468879269	0.00586688722648	1.0	1.56790123457	0.268292682927	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Segetibacter; s__
OTU_48	9.61886374151	0.00192588851836	0.00593405456841	1.0	82.5555555556	501.219512195	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__lwoffii
OTU_388	9.61724468588	0.00192758713082	0.00593405456841	1.0	1.06172839506	14.0487804878	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_1040	9.59393212831	0.00195221427374	0.00598786924727	1.0	0.617283950617	0.0487804878049	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__
OTU_1462	9.59002150997	0.00195637654349	0.00598786924727	1.0	1.17283950617	0.268292682927	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__; s__
OTU_4453	9.50496649198	0.0020491650082	0.00625379176855	1.0	3.3950617284	1.29268292683	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Geodermatophilus
OTU_1701	9.47898693628	0.00207838705938	0.00632474682724	1.0	3.59259259259	1.70731707317	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
OTU_262	9.46397170661	0.00209546866948	0.0063584565071	1.0	2.14814814815	0.878048780488	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__
OTU_690	9.45188122595	0.00210932645553	0.00638221918973	1.0	1.69135802469	0.439024390244	k__Bacteria; p__Armatimonadetes; c__[Fimbriimonadia]; o__[Fimbriimonadales]; f__[Fimbriimonadaceae]; g__Fimbriimonas; s__
OTU_5547	9.44520620258	0.00211701697136	0.00638723923838	1.0	1.59259259259	0.146341463415	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
OTU_1714	9.43661499262	0.00212695705832	0.00639899864988	1.0	1.11111111111	0.0731707317073	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__; s__
OTU_59	9.42891220057	0.00213590947956	0.00640772843869	1.0	1.8024691358	0.146341463415	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__sobrinus
OTU_242	9.41081139195	0.00215709751178	0.00645301204797	1.0	2.16049382716	0.512195121951	k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__
OTU_993	9.40011854521	0.00216971413548	0.0064724711816	1.0	3.95061728395	1.63414634146	k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__
